#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:impatiens" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:impatiens" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:impatiens" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:impatiens" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:impatiens">
#                    <taxonset id="TaxonSet.impatiens" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:impatiens" name="distribution">
#            <parameter id="gammaShape.s:impatiens" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:impatiens" name="distribution">
#            <parameter id="kappa.s:impatiens" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.01" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.02" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:impatiens" name="distribution" x="@popSize.t:impatiens">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@impatiens" id="treeLikelihood.impatiens" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:impatiens">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:impatiens" shape="@gammaShape.s:impatiens" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:impatiens" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:impatiens" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:impatiens" kappa="@kappa.s:impatiens" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:impatiens" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:impatiens" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:impatiens" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:impatiens" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	kappa	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	-7611.060068275441	-7481.463202970543	-129.59686530489893	-7481.463202970543	1.630858149227398	1.0	2.0	0.3	-127.93547807525054	0.25	0.25	0.25	0.25	
1000	-4611.713715755886	-4615.1439363918935	3.430220636007489	-4615.1439363918935	0.22289786848766818	0.9982237712296009	2.0	0.29630474529097245	5.077437631837362	0.25	0.24747295365066524	0.25	0.25252704634933476	
2000	-3074.715662226112	-3117.9699142467	43.25425202058787	-3117.9699142467	0.08547478910596921	0.9982237712296009	2.0	0.12347180751254759	44.02609339756735	0.25	0.24747295365066524	0.25	0.25252704634933476	
3000	-2430.2083583172694	-2512.690161305128	82.48180298785901	-2512.690161305128	0.10359726964995315	0.9982237712296009	2.9567878951641773	0.06038257173172308	82.90142107704837	0.25	0.24747295365066524	0.25	0.25252704634933476	
4000	-1973.0845116820028	-2080.6689101687402	107.58439848673733	-2080.6689101687402	0.0893462511373532	0.9982237712296009	2.9567878951641773	0.03806357024425328	107.54257372326221	0.25	0.24747295365066524	0.25	0.25252704634933476	
5000	-1955.4087322438293	-2065.6666300229676	110.25789777913846	-2065.6666300229676	0.10541821285151141	0.6122155141395094	2.9567878951641773	0.03300581806406636	109.6874909463211	0.25	0.24747295365066524	0.25	0.25252704634933476	
6000	-1937.766557656347	-2048.7198567166256	110.95329906027861	-2048.7198567166256	0.09401530310403602	0.6122155141395094	2.9567878951641773	0.03280679483372029	110.37684403006313	0.25	0.24747295365066524	0.25	0.25252704634933476	
7000	-1923.2482124064895	-2028.5508768427028	105.30266443621326	-2028.5508768427028	0.09128029391298903	0.6122155141395094	4.039838703083114	0.04552481677036061	105.4139021522403	0.25	0.24747295365066524	0.25	0.25252704634933476	
8000	-1930.6513161680627	-2033.1942530692036	102.54293690114092	-2033.1942530692036	0.10577691666426212	0.6122155141395094	4.039838703083114	0.04792652406394467	102.70558610582333	0.25	0.24747295365066524	0.25	0.25252704634933476	
9000	-1930.8470430709895	-2028.5369136639004	97.68987059291096	-2028.5369136639004	0.11161304694252489	0.6409203427587336	4.039838703083114	0.04442717182176447	97.80540679698895	0.2509675826186344	0.2308731112440868	0.25	0.26815930613727884	
10000	-1904.5907685369732	-2014.12931554051	109.53854700353689	-2014.12931554051	0.1010308838423149	0.6409203427587336	4.039838703083114	0.042569785067197344	109.61137667829196	0.2509675826186344	0.2308731112440868	0.25	0.26815930613727884	
11000	-1872.0148399694435	-1980.3401523152002	108.32531234575657	-1980.3401523152002	0.09969400388156884	0.39769073012592987	6.934985643982161	0.03510237007703796	108.73287517851297	0.2509675826186344	0.22554230629612815	0.25	0.27349011108523746	
12000	-1889.355097134412	-1995.845320046277	106.49022291186489	-1995.845320046277	0.09466144892281227	0.39769073012592987	8.686517988195972	0.043686395276701685	107.49295800932396	0.2509675826186344	0.22554230629612815	0.25	0.27349011108523746	
