#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:impatiens" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:impatiens" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:impatiens">
#                <taxonset id="TaxonSet.impatiens" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:impatiens" name="distribution" x="@birthRate.t:impatiens">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:impatiens" name="distribution">
#            <parameter id="gammaShape.s:impatiens" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:impatiens" name="distribution">
#            <parameter id="kappa.s:impatiens" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.01" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.02" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:impatiens" name="distribution">
#            <parameter id="ucldStdev.c:impatiens" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.03" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.04" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@impatiens" id="treeLikelihood.impatiens" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:impatiens">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:impatiens" shape="@gammaShape.s:impatiens" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:impatiens" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:impatiens" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:impatiens" kappa="@kappa.s:impatiens" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:impatiens" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:impatiens" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:impatiens" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:impatiens">
#                <LogNormal S="@ucldStdev.c:impatiens" id="LogNormalDistributionModel.c:impatiens" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.05" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="94" id="rateCategories.c:impatiens" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:impatiens" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	gammaShape	kappa	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	-8054.676919722182	-8044.449490099939	-10.22742962224307	-8044.449490099939	1.83273524731184	-8.181433733389586	1.0	1.0	2.0	0.1	1.0250355469639267	0.007457363362535748	0.0868533104686475	0.25	0.25	0.25	0.25	
1000	-3645.6045499393763	-3693.0359408202157	47.4313908808394	-3693.0359408202157	0.7398857134351671	55.524471561826864	8.933749189312074	1.0	6.650760632998319	1.400136726459974	0.4264002590683714	0.9079229839434909	1.4904095182132149	0.25	0.25	0.25	0.25	
2000	-2779.894792859813	-2855.3937372435903	75.49894438377716	-2855.3937372435903	0.6547051667571255	84.07853217679718	15.765930282298875	1.0	6.650760632998319	1.566224010152321	0.4185477925863841	0.8615587047460952	1.822131245085998	0.25	0.25	0.25	0.25	
3000	-2492.584889795241	-2572.8329322742934	80.2480424790524	-2572.8329322742934	0.47804055913832555	90.26232212538011	15.92497495536361	0.8547977009562671	12.042763789116165	1.7503720281731654	0.33289698814801705	0.7557304216351656	2.1274516909322942	0.25	0.25	0.25	0.25	
4000	-2376.511594594334	-2478.316126378197	101.80453178386314	-2478.316126378197	0.29427214553445497	111.66153022357588	24.569005405779425	0.8547977009562671	12.042763789116165	1.6958683418817233	0.37807343042462843	0.565767705283343	1.8014769336334235	0.25	0.25	0.25	0.25	
5000	-2356.9404004491876	-2453.5851792099593	96.64477876077181	-2453.5851792099593	0.36699687113877016	106.17498463999522	32.982464971722116	0.8547977009562671	10.944482338101178	1.646458235044535	0.4459887218349643	0.5404079498945273	1.7370307000274843	0.25	0.25	0.25	0.25	
6000	-2307.99581026517	-2394.1995942873905	86.20378402222057	-2394.1995942873905	0.4578808470054484	95.7046686507608	27.085722482603387	0.45243157547346907	10.944482338101178	1.7756428138961418	0.4391307320746472	0.605657749802255	1.9673252341346181	0.2420721990679931	0.25	0.25	0.2579278009320069	
7000	-2283.294363773625	-2381.877028435611	98.58266466198627	-2381.877028435611	0.36462913042580497	107.63141129944702	33.699932641164196	0.45243157547346907	8.078315633944957	1.8078772680640132	0.4461315253571082	0.5721067630432364	2.0816353399220593	0.2420721990679931	0.25	0.25	0.2579278009320069	
8000	-2260.4981001023593	-2367.6147791462754	107.11667904391624	-2367.6147791462754	0.31988430214455055	115.44159230985288	34.70692100642295	0.45243157547346907	8.078315633944957	1.5576402172160113	0.6280168758391683	0.4656887787206563	1.5612383456449912	0.2420721990679931	0.25	0.25	0.2579278009320069	
9000	-2110.5428378285533	-2265.131693030242	154.58885520168863	-2265.131693030242	0.07539483872678572	162.188516302162	83.08063441586717	0.42526569553759663	8.078315633944957	1.3201301381862884	1.0184406579243996	1.0783322749633295	1.516916974588871	0.2420721990679931	0.25	0.25	0.2579278009320069	
10000	-1877.6813206555614	-2029.2632678463851	151.58194719082366	-2029.2632678463851	0.1042989644916838	159.8170492656298	75.68298005439884	0.42526569553759663	10.200805455349132	1.3952316955132547	0.6217862040542556	2.3469941038311366	2.208839582066596	0.2420721990679931	0.25	0.25	0.2579278009320069	
11000	-1839.9500249922705	-2003.9764730944673	164.0264481021968	-2003.9764730944673	0.09553518105263753	170.99067608577806	102.17217306675376	0.42526569553759663	10.200805455349132	0.9732188694804822	0.8371096769004497	0.3351778240428667	0.8687783543832126	0.2420721990679931	0.25	0.25	0.2579278009320069	
12000	-1829.492158414582	-1998.5356734257152	169.04351501113317	-1998.5356734257152	0.07538437320063646	175.34283005621012	118.52161598510035	0.42526569553759663	9.67450753618714	0.7924311779548561	0.908465946251293	0.19896950597868895	0.6042283855434554	0.2420721990679931	0.24267538049586393	0.25	0.26525242043614294	
