#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:impatiens" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:impatiens" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:impatiens">
#                <taxonset id="TaxonSet.impatiens" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:impatiens" name="distribution" x="@birthRate.t:impatiens">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:impatiens" name="distribution">
#            <parameter id="gammaShape.s:impatiens" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:impatiens" name="distribution">
#            <parameter id="kappa.s:impatiens" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.01" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.02" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@impatiens" id="treeLikelihood.impatiens" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:impatiens">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:impatiens" shape="@gammaShape.s:impatiens" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:impatiens" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:impatiens" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:impatiens" kappa="@kappa.s:impatiens" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:impatiens" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:impatiens" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:impatiens" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:impatiens" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	gammaShape	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	-8852.685240901332	-8840.654762796894	-12.03047810443794	-8840.654762796894	2.0183008706049406	-9.165118070463652	1.0	1.0	2.0	0.25	0.25	0.25	0.25	
1000	-4143.456016697332	-4241.417224800492	97.96120810315901	-4241.417224800492	0.16845412107176855	100.85504626688996	22.302329929048668	0.6986537786796989	2.8640289871387714	0.25	0.25	0.24395300985269183	0.2560469901473082	
2000	-2955.9264943750886	-3093.709670730096	137.78317635500753	-3093.709670730096	0.12763850703978696	140.67701451873847	54.497064053073466	0.6986537786796989	2.8640289871387714	0.25	0.25	0.24395300985269183	0.2560469901473082	
3000	-2427.2140240927874	-2571.5653545645496	144.3513304717623	-2571.5653545645496	0.08272348561725609	147.24516863549326	86.0822702030903	0.6986537786796989	2.8640289871387714	0.25	0.25	0.24395300985269183	0.2560469901473082	
4000	-1951.070951232407	-2124.1888898706175	173.1179386382105	-2124.1888898706175	0.10219423510873527	175.89234218593757	116.95882823976115	0.5792191626758293	2.8640289871387714	0.24404609890074097	0.25	0.24395300985269183	0.2620008912465672	
5000	-1886.5988715984581	-2065.9843049373762	179.3854333389181	-2065.9843049373762	0.09473320052396954	181.9672658980292	129.62336764684835	0.38664817405986024	2.8640289871387714	0.24404609890074097	0.25039098260403025	0.23822356125551197	0.26733935723971686	
6000	-1841.8737155185272	-2024.267696387955	182.39398086942785	-2024.267696387955	0.08389509437880864	185.40699128627347	134.76432541231014	0.38664817405986024	4.162697518148527	0.24404609890074097	0.25039098260403025	0.23822356125551197	0.26733935723971686	
7000	-1817.5555708764396	-1998.3468196458723	180.79124876943283	-1998.3468196458723	0.08743595582179044	184.49015487386066	121.83492754416942	0.3547563968492587	6.869227681630007	0.24404609890074097	0.24438435594121286	0.24423018791832937	0.26733935723971686	
8000	-1840.9449407660202	-2006.41453827843	165.4695975124097	-2006.41453827843	0.12019106030205765	169.16850361683754	114.38133687969923	0.3547563968492587	6.869227681630007	0.24404609890074097	0.25002156214044013	0.23859298171910207	0.26733935723971686	
9000	-1817.0885072624446	-1990.4641205418006	173.37561327935606	-1990.4641205418006	0.10436345671820473	177.979198299997	127.11286393900184	0.3547563968492587	11.492124528888873	0.24404609890074097	0.25002156214044013	0.23859298171910207	0.26733935723971686	
10000	-1818.0211037759295	-1994.9276491795401	176.9065454036105	-1994.9276491795401	0.0889285085162799	180.56625657562597	135.65835491891642	0.3547563968492587	6.70148595294081	0.24404609890074097	0.2464853939735149	0.23859298171910207	0.27087552540664206	
11000	-1803.7336209294538	-1978.1119450513297	174.37832412187595	-1978.1119450513297	0.10117819582629327	177.91160355300178	120.52439207470094	0.22832465595963194	6.70148595294081	0.24404609890074097	0.2464853939735149	0.23859298171910207	0.27087552540664206	
